NU_INSCRICAO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10053E+11;F;GO;B;D;D;B;6;C;A;B;C;B;B;B;A;A;A;B;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;B;C;B;B;4;C;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10053E+11;F;GO;F;E;D;D;3;I;A;D;C;B;A;B;B;B;A;B;A;B;C;A;B;D;A;C;B
2,10054E+11;F;GO;B;C;C;C;4;G;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;C;C;B;B;4;C;A;B;D;B;A;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10051E+11;F;GO;D;E;D;D;3;D;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;B;E;C;B;4;A;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B
2,10053E+11;F;GO;E;E;D;B;3;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;M;GO;H;H;F;F;4;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10053E+11;M;GO;G;E;D;B;4;F;A;B;D;B;A;B;B;B;A;B;A;A;B;B;B;E;A;B;B
2,10053E+11;M;GO;C;G;B;D;4;H;B;D;D;C;A;B;B;B;A;B;A;A;C;A;A;E;A;C;B
2,10053E+11;F;GO;E;E;D;D;5;B;A;B;C;B;A;B;B;B;B;B;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;B;F;C;D;5;D;A;C;D;B;A;B;A;A;A;B;A;A;C;A;A;D;B;B;B
2,10051E+11;M;GO;E;E;C;B;3;C;A;B;C;B;A;B;B;B;A;B;A;B;B;A;A;D;A;A;B
2,10051E+11;F;GO;E;E;D;D;4;C;A;C;D;B;B;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;B;B;B;F;3;C;A;C;C;B;A;B;B;B;A;B;A;A;D;A;A;D;A;A;B
2,10052E+11;F;GO;A;D;A;B;4;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10054E+11;F;GO;H;D;B;B;5;C;A;C;C;A;B;B;B;B;B;B;A;A;C;B;A;E;A;B;B
2,10054E+11;F;GO;H;H;F;F;4;C;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10051E+11;F;GO;D;D;B;B;4;C;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;E;G;B;E;4;D;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;C;C;A;B;3;B;A;B;D;A;A;B;A;B;A;A;A;A;A;A;A;C;A;A;A
2,10053E+11;F;GO;D;E;A;B;4;G;A;B;D;A;C;B;A;A;A;A;A;A;B;A;B;D;A;B;B
2,10052E+11;F;GO;D;D;A;A;4;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10053E+11;M;GO;D;D;A;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
2,10052E+11;F;GO;B;C;F;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;E;F;D;B;4;D;A;C;D;C;C;B;B;B;A;B;A;A;C;A;A;E;A;B;B
2,10052E+11;M;GO;H;H;F;F;3;F;A;C;C;A;B;B;A;B;A;B;A;A;C;A;A;C;A;A;B
2,10051E+11;F;GO;D;D;C;B;3;C;A;B;C;B;A;B;A;B;A;A;A;A;B;B;A;C;A;A;B
2,10053E+11;M;GO;C;F;B;E;5;F;A;C;D;B;A;B;A;B;A;A;A;A;B;A;B;B;A;A;B
2,10052E+11;M;GO;E;D;D;D;5;D;A;C;D;B;A;B;B;B;A;C;A;A;B;B;A;B;A;B;B
2,10054E+11;F;GO;E;E;A;B;4;D;A;B;D;B;A;B;B;A;A;A;A;A;B;A;B;B;A;A;B
2,10054E+11;F;GO;E;E;F;F;6;B;A;C;D;A;A;B;B;B;A;A;A;A;B;A;B;E;A;A;B
2,10053E+11;M;GO;F;F;B;B;4;F;A;C;C;C;A;B;B;B;A;B;A;B;D;A;A;E;A;B;B
2,10054E+11;M;GO;E;C;C;F;5;F;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;E;A;A;B
2,10053E+11;M;GO;B;B;A;B;4;E;A;B;C;B;B;B;A;A;A;B;A;A;B;A;B;D;A;A;B
2,10052E+11;F;GO;B;C;B;B;4;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
2,10054E+11;M;GO;D;E;C;B;2;C;A;B;C;A;B;B;B;B;A;B;A;A;B;A;A;C;A;B;A
2,10054E+11;M;GO;H;F;F;B;4;E;A;B;E;B;A;B;B;B;A;B;A;A;B;A;A;C;B;B;B
2,10052E+11;F;GO;H;E;F;B;5;B;A;B;D;A;B;B;A;B;A;A;A;A;B;B;A;E;A;B;B
2,10052E+11;M;GO;H;H;A;A;4;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
2,10052E+11;F;GO;H;H;C;D;4;C;A;B;C;B;A;B;A;A;A;A;A;A;B;B;A;D;A;B;B
2,10054E+11;F;GO;D;E;D;B;4;C;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;E;E;C;B;3;E;A;C;D;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10052E+11;F;GO;G;G;D;D;5;J;A;C;D;C;A;B;B;C;C;B;A;B;B;A;B;E;B;C;B
2,10054E+11;M;GO;E;E;D;B;6;G;A;C;D;C;A;B;B;B;A;A;A;A;B;A;A;E;A;B;B
2,10054E+11;M;GO;E;E;D;B;3;F;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;M;GO;E;C;B;B;4;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10051E+11;F;GO;E;E;D;D;5;B;A;B;C;B;A;B;B;B;A;A;A;A;A;A;A;C;B;B;B
2,10054E+11;F;GO;C;E;A;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;H;E;F;B;2;B;A;B;C;A;A;B;A;B;A;B;A;A;A;A;A;C;A;A;B
2,10051E+11;M;GO;E;F;D;D;2;G;A;C;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;M;GO;D;D;B;B;3;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10053E+11;M;GO;C;B;A;A;4;D;A;B;C;A;A;B;A;A;A;B;A;A;A;A;A;D;A;A;B
2,10054E+11;F;GO;B;B;A;A;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10052E+11;F;GO;E;E;F;B;4;C;A;D;D;A;A;B;B;B;B;B;A;A;D;B;B;D;A;B;B
2,10051E+11;M;GO;E;E;B;B;3;C;A;B;C;B;A;B;A;B;A;B;B;A;B;A;B;B;B;B;B
2,10053E+11;F;GO;E;E;C;D;4;F;A;C;D;B;A;B;B;B;B;B;A;B;B;A;B;E;A;A;B
2,10052E+11;M;GO;F;F;D;D;4;I;A;C;D;B;A;C;B;B;A;B;B;B;E;A;B;E;A;C;B
2,10053E+11;M;GO;C;G;B;D;2;C;A;C;C;A;A;B;A;B;B;B;A;A;C;A;A;C;B;B;B
2,10054E+11;M;GO;F;E;D;B;3;G;A;C;C;B;A;B;B;B;A;A;A;B;B;A;B;D;A;B;B
2,10052E+11;M;GO;H;H;F;F;2;D;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;C;F;A;C;5;B;A;B;C;C;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B
2,10051E+11;F;GO;C;C;C;B;5;F;A;B;D;B;A;B;A;B;A;B;A;A;B;B;A;E;A;C;B
2,10052E+11;F;GO;E;E;C;D;4;E;A;B;D;B;C;B;B;B;A;B;A;B;C;A;B;E;A;B;B
2,10052E+11;M;GO;C;D;A;B;3;F;A;C;C;C;B;B;A;B;B;B;A;B;D;B;B;E;A;B;B
2,10051E+11;M;GO;C;F;D;D;2;B;A;C;D;A;B;B;A;B;A;B;A;B;C;B;A;B;B;B;B
2,10054E+11;M;GO;E;E;C;A;3;C;A;C;D;A;A;B;A;B;B;B;A;A;A;A;A;A;A;A;A
2,10054E+11;M;GO;C;G;D;F;5;D;A;B;D;B;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;C;C;A;B;3;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;A
2,10053E+11;M;GO;F;G;E;D;4;J;A;C;D;C;A;B;B;B;B;B;A;B;B;A;A;E;A;C;B
2,10052E+11;F;GO;C;D;C;B;4;C;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;A;A;B;B
2,10054E+11;F;GO;C;C;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10053E+11;M;GO;A;C;C;F;5;B;A;B;C;A;B;B;A;B;B;A;A;A;B;A;A;B;B;A;B
2,10052E+11;F;GO;C;C;A;A;3;B;A;B;C;A;A;D;A;A;A;A;A;A;A;A;A;B;A;A;B
2,10052E+11;F;GO;E;E;F;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;D;D;A;A;3;G;A;C;E;C;A;D;B;B;A;B;A;B;C;A;A;C;B;B;B
2,10051E+11;F;GO;D;D;B;B;2;B;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;D;C;B;F;3;E;A;C;E;A;A;B;A;B;A;B;A;A;C;B;B;B;A;B;B
2,10051E+11;F;GO;C;E;C;B;5;C;C;B;C;A;A;B;A;B;A;B;A;A;B;A;B;B;A;A;A
2,10054E+11;F;GO;E;F;A;D;4;G;B;C;C;B;B;C;C;B;B;B;A;B;B;B;B;E;A;B;B
2,10054E+11;F;GO;H;E;F;B;5;C;A;D;D;A;A;B;B;B;B;B;A;A;C;A;A;E;A;B;B
2,10054E+11;F;GO;H;H;F;F;5;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B
2,10053E+11;M;GO;C;E;A;B;4;D;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;E;E;D;D;4;C;D;D;D;B;B;B;B;B;B;B;A;A;C;B;B;E;A;B;B
2,10052E+11;F;GO;B;D;C;C;4;B;A;B;C;B;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B
2,10053E+11;M;GO;H;G;F;E;2;P;C;D;D;B;A;C;B;B;A;B;B;A;D;A;B;C;B;C;B
2,10054E+11;M;GO;B;B;A;A;4;D;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;D;D;C;D;4;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B
2,10053E+11;F;GO;C;C;B;B;6;E;A;B;C;A;B;B;A;A;A;B;A;A;B;B;A;C;A;A;B
2,10054E+11;F;GO;B;A;A;A;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10052E+11;M;GO;E;E;B;D;4;C;A;B;C;A;B;B;A;A;A;B;A;A;C;A;A;C;B;A;B
2,10054E+11;F;GO;B;G;A;D;2;F;A;C;D;B;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;M;GO;E;G;C;D;4;E;A;B;D;B;A;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10052E+11;F;GO;E;G;D;E;3;K;A;D;D;C;A;B;B;B;A;B;A;B;C;A;B;D;B;B;B
2,10054E+11;F;GO;C;B;C;B;5;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10053E+11;M;GO;B;H;F;F;3;C;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;D;A;C;B
2,10051E+11;F;GO;F;E;E;B;3;E;A;C;C;B;B;B;A;B;A;B;A;A;B;B;A;C;A;A;B
2,10051E+11;M;GO;A;H;B;B;3;B;A;C;D;B;A;C;A;B;A;B;A;A;C;A;A;C;A;A;B
2,10054E+11;M;GO;E;E;B;B;3;C;A;B;C;B;A;B;B;B;A;B;A;B;B;B;A;D;A;B;B
2,10052E+11;M;GO;E;E;C;C;4;E;A;B;D;B;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10054E+11;M;GO;E;E;B;B;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;H;H;D;D;6;F;A;B;D;B;A;B;B;B;A;A;A;A;B;A;A;E;A;A;B
2,10052E+11;M;GO;B;F;D;D;2;D;A;C;E;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;E;E;D;D;5;C;A;B;C;B;A;B;B;B;A;B;A;A;C;A;B;D;B;A;B
2,10053E+11;F;GO;D;E;B;B;3;D;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;B;A;A;B
2,10054E+11;F;GO;E;C;C;B;4;C;A;B;C;B;A;B;A;B;A;B;A;A;B;B;A;E;A;B;B
2,10053E+11;M;GO;D;D;B;B;4;B;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;A;A;A;A;4;B;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;C;A;A;B
2,10053E+11;F;GO;D;D;C;B;4;D;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;H;H;B;D;3;A;A;B;C;B;B;B;A;B;A;B;A;B;B;B;A;C;A;A;B
2,10054E+11;M;GO;E;E;F;F;3;D;A;C;D;A;A;B;A;A;A;A;A;A;B;A;A;B;B;A;B
2,10054E+11;F;GO;B;B;B;B;4;A;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10051E+11;M;GO;C;C;B;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;A;A;A;A
2,10053E+11;F;GO;D;E;D;D;3;D;A;C;C;B;B;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;E;E;C;B;3;B;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10054E+11;M;GO;H;H;A;A;3;C;A;B;D;B;B;B;A;A;A;A;B;A;B;A;A;C;A;A;B
2,10054E+11;M;GO;E;C;B;C;4;E;A;B;C;B;B;B;B;C;A;B;A;B;C;A;B;D;B;B;B
2,10052E+11;F;GO;C;D;C;B;2;B;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;G;F;E;F;4;M;A;C;D;B;A;B;B;B;A;B;A;B;C;B;A;E;A;C;B
2,10054E+11;F;GO;H;C;D;B;6;F;A;D;D;B;B;C;D;B;B;A;A;A;C;B;A;D;A;C;B
2,10053E+11;F;GO;H;H;B;B;4;C;A;B;C;C;A;B;A;B;A;B;A;B;B;A;A;D;A;A;B
2,10053E+11;F;GO;H;H;D;F;5;C;A;E;D;B;A;B;B;B;A;A;A;B;B;A;A;E;A;A;B
2,10053E+11;F;GO;B;B;B;B;2;B;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;B;A;A;B
2,10052E+11;M;GO;C;B;B;B;2;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;B;B;D;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;B;B;D;A;B;B
2,10054E+11;F;GO;E;E;C;B;2;C;A;B;C;B;A;B;B;B;A;B;A;A;C;A;A;C;A;B;B
2,10052E+11;F;GO;B;D;A;B;5;B;A;B;E;A;B;B;A;B;A;A;A;A;B;B;A;C;A;A;B
2,10054E+11;M;GO;B;B;B;B;4;B;A;B;D;A;C;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;H;G;F;D;4;D;A;C;D;C;A;B;A;B;A;B;B;B;D;B;A;D;A;A;B
2,10054E+11;F;GO;B;C;A;A;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;M;GO;E;F;D;D;4;G;A;C;D;B;A;B;B;B;A;B;A;A;C;A;B;E;A;B;B
2,10054E+11;F;GO;H;F;D;F;4;K;A;E;E;B;A;B;B;B;B;B;A;B;E;A;B;E;A;E;B
2,10054E+11;F;GO;E;E;E;B;4;C;A;B;C;A;A;B;B;B;A;B;A;A;A;A;A;D;A;A;B
2,10052E+11;F;GO;D;D;F;B;6;B;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;E;A;A;B
2,10052E+11;F;GO;H;C;F;B;3;D;A;B;D;A;A;B;B;B;A;A;A;A;B;A;B;D;A;A;B
2,10053E+11;F;GO;F;F;D;B;3;E;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10054E+11;M;GO;E;D;C;B;5;C;A;B;D;B;A;B;B;B;A;B;A;B;B;B;A;D;A;A;B
2,10053E+11;F;GO;H;E;D;B;4;H;A;C;D;B;A;B;C;B;A;B;B;B;C;A;B;C;A;B;B
2,10051E+11;F;GO;E;C;B;F;4;C;A;C;D;B;A;B;A;B;A;B;A;B;B;B;B;E;A;B;B
2,10052E+11;M;GO;C;E;D;D;4;C;A;B;D;A;B;B;B;A;A;A;A;A;C;B;B;E;A;B;B
2,10054E+11;F;GO;E;E;B;D;4;G;A;C;D;B;A;B;A;B;A;B;A;A;B;A;B;E;A;B;B
2,10051E+11;F;GO;D;D;B;B;4;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10052E+11;M;GO;H;F;F;B;4;D;A;B;C;A;B;B;A;B;A;B;A;A;B;A;B;C;A;A;B
2,10054E+11;F;GO;B;E;A;B;5;B;A;B;C;A;B;B;B;B;B;B;A;A;B;A;A;E;A;A;B
2,10051E+11;M;GO;H;D;F;B;4;C;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;C;E;D;B;3;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10054E+11;M;GO;H;H;F;F;3;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;H;B;F;B;4;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;F;F;D;D;4;H;A;B;C;B;A;B;B;B;A;A;A;A;A;A;A;E;A;A;B
2,10052E+11;M;GO;B;E;C;D;4;F;A;B;C;B;A;B;B;B;A;B;A;B;B;A;A;E;A;B;B
2,10052E+11;F;GO;G;C;C;B;3;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;G;F;E;D;5;Q;D;E;E;C;A;B;B;B;A;B;B;B;D;A;B;E;B;D;B
2,10053E+11;F;GO;H;D;F;B;4;A;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
2,10052E+11;M;GO;H;G;F;D;3;D;A;C;D;A;A;B;A;B;A;B;A;A;C;A;A;B;B;A;B
2,10054E+11;F;GO;B;B;F;A;7;B;A;B;C;A;A;B;B;B;B;A;A;A;B;B;A;C;A;A;B
2,10054E+11;F;GO;G;G;D;D;2;H;A;C;D;B;A;B;B;B;A;B;A;B;B;A;B;C;B;C;B
2,10054E+11;M;GO;D;B;A;A;5;D;A;B;D;B;B;C;B;B;A;B;A;A;B;B;A;E;A;B;B
2,10051E+11;F;GO;B;B;F;F;3;D;A;C;C;A;B;B;A;A;A;B;A;B;B;A;A;D;A;A;B
2,10054E+11;M;GO;G;E;D;D;3;G;A;C;D;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10053E+11;M;GO;E;E;C;B;3;C;A;B;C;B;A;B;A;B;B;B;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;C;E;E;A;2;I;A;C;D;A;B;B;A;B;B;B;B;A;C;A;B;C;A;B;B
2,10054E+11;F;GO;H;H;F;F;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;E;E;D;D;5;H;A;C;D;B;A;B;A;B;A;B;A;A;C;A;B;E;A;A;B
2,10054E+11;M;GO;B;F;B;B;3;B;A;B;C;A;B;B;B;B;B;A;A;A;B;B;B;E;A;B;B
2,10054E+11;F;GO;A;C;C;B;6;D;A;B;D;B;A;B;A;B;A;A;A;A;B;B;A;E;A;A;B
2,10053E+11;F;GO;E;D;C;B;4;E;A;C;D;B;B;B;A;B;B;B;A;B;D;B;A;D;A;B;B
2,10052E+11;F;GO;H;C;F;B;2;B;A;C;C;B;A;B;A;B;A;B;A;B;B;A;A;C;A;A;B
2,10052E+11;M;GO;D;B;C;F;4;F;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;E;C;A;B;8;B;A;B;C;B;A;B;A;B;B;A;A;A;A;A;A;C;A;A;B
2,10053E+11;F;GO;F;G;B;B;4;D;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;H;B;B;B;3;C;A;C;E;B;B;C;C;B;A;B;A;A;C;B;A;D;B;B;B
2,10051E+11;F;GO;H;E;F;A;5;D;A;B;C;B;A;C;A;A;A;A;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;B;B;A;A;3;C;A;B;C;B;A;A;A;B;A;B;A;A;A;A;A;C;A;B;A
2,10053E+11;M;GO;D;D;F;F;3;D;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;M;GO;C;E;B;C;4;E;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;E;A;A;B
2,10054E+11;M;GO;E;E;C;D;3;F;A;C;C;B;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B
2,10054E+11;F;GO;C;E;D;B;5;D;A;C;C;B;B;B;A;B;A;B;A;A;B;A;A;E;B;B;B
2,10054E+11;F;GO;E;E;C;B;6;D;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;E;B;A;B
2,10052E+11;F;GO;H;E;B;B;7;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;E;A;A;A
2,10053E+11;F;GO;C;D;A;A;4;B;A;C;D;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;A
2,10053E+11;F;GO;C;D;B;B;4;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;E;D;C;A;5;C;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;E;H;B;B;4;B;A;B;C;B;B;B;A;B;B;A;A;A;B;B;A;E;A;A;B
2,10051E+11;F;GO;H;E;C;B;4;C;A;B;C;B;C;B;B;B;B;A;A;A;B;A;B;D;A;A;B
2,10051E+11;F;GO;D;F;C;B;4;C;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;E;B;B;B
2,10051E+11;F;GO;A;A;B;B;4;C;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10054E+11;M;GO;D;D;B;B;4;C;A;B;D;B;B;B;B;B;A;A;A;A;B;A;A;B;A;B;B
2,10052E+11;M;GO;D;D;B;B;4;E;A;D;D;B;A;B;A;A;A;A;A;A;B;A;A;C;B;B;B
2,10054E+11;F;GO;C;E;A;B;2;E;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10051E+11;F;GO;E;E;A;B;5;C;D;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;D;D;A;B;4;B;A;B;D;B;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10053E+11;F;GO;D;D;A;B;4;A;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;E;E;E;D;4;G;A;C;D;B;B;B;A;B;B;B;A;A;B;A;B;E;A;B;B
2,10051E+11;M;GO;B;B;A;B;3;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;M;GO;D;G;A;E;2;D;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;C;B;B;B
2,10052E+11;F;GO;C;D;C;B;5;C;A;B;C;B;A;B;B;B;A;A;A;B;A;A;A;E;A;B;B
2,10054E+11;M;GO;E;E;B;F;4;F;A;B;C;B;A;B;A;B;A;A;A;B;B;A;A;C;A;A;B
2,10054E+11;F;GO;C;E;B;B;3;E;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;D;D;C;C;4;D;A;B;C;B;B;B;A;B;A;B;A;B;B;A;A;D;A;B;B
2,10051E+11;F;GO;D;D;F;B;5;B;A;B;C;A;A;B;A;B;B;A;A;A;B;A;A;C;B;B;B
2,10051E+11;M;GO;B;G;A;D;3;E;A;B;D;A;B;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10054E+11;F;GO;E;C;B;B;4;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;A;B;C;B;5;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10053E+11;M;GO;D;C;B;B;6;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;M;GO;E;E;C;C;4;C;A;B;C;C;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
2,10053E+11;M;GO;D;G;C;D;6;G;A;C;D;B;B;B;A;B;B;B;A;A;B;A;A;E;A;A;B
2,10052E+11;M;GO;E;C;B;B;4;E;A;C;D;B;A;B;B;B;A;B;A;B;B;B;A;E;B;C;B
2,10054E+11;F;GO;H;H;F;F;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10053E+11;M;GO;D;D;B;B;3;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10052E+11;F;GO;E;E;B;B;3;C;A;B;C;B;A;B;B;B;A;B;A;A;B;B;A;D;A;A;B
2,10053E+11;M;GO;B;D;B;B;4;B;A;C;D;A;C;B;A;B;A;B;A;A;B;A;A;E;A;A;B
2,10052E+11;F;GO;C;D;C;B;4;C;A;B;D;B;B;B;A;B;A;B;A;B;B;A;A;B;A;A;B
2,10053E+11;M;GO;C;C;C;B;5;G;A;B;E;B;A;B;B;B;A;A;A;B;B;A;B;E;A;C;B
2,10054E+11;M;GO;G;G;D;D;4;H;A;C;D;B;A;B;D;B;A;B;A;A;D;B;B;E;A;E;B
2,10054E+11;F;GO;H;B;F;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;D;A;B;B
2,10054E+11;F;GO;B;E;B;B;5;I;A;B;D;B;B;B;A;B;A;B;A;A;D;A;A;D;A;A;B
2,10053E+11;F;GO;B;C;A;B;2;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;D;E;A;C;2;D;A;D;D;B;A;C;B;B;A;B;A;A;C;A;B;C;A;B;B
2,10051E+11;F;GO;F;D;D;B;3;G;A;C;D;B;A;C;C;B;B;B;A;B;B;A;A;D;A;B;B
